mode: count
fmt/format.go:54.28,56.2 1 13914
fmt/scan.go:751.20,753.3 1 0
fmt/scan.go:754.30,756.3 1 0
fmt/scan.go:761.54,762.38 1 165
fmt/scan.go:783.2,784.16 2 133
fmt/scan.go:787.2,787.10 1 128
fmt/scan.go:762.38,766.17 2 32
fmt/scan.go:773.3,774.17 2 32
fmt/scan.go:781.3,781.26 1 32
fmt/scan.go:766.17,768.44 1 0
fmt/scan.go:771.4,771.16 1 0
fmt/scan.go:768.44,770.5 1 0
fmt/scan.go:774.17,776.44 1 0
fmt/scan.go:779.4,779.16 1 0
fmt/scan.go:776.44,778.5 1 0
fmt/scan.go:784.16,786.3 1 5
fmt/scan.go:794.55,795.44 1 37
fmt/scan.go:798.2,803.28 6 37
fmt/scan.go:795.44,797.3 1 0
fmt/scan.go:808.52,809.40 1 113
fmt/scan.go:812.2,814.14 3 113
fmt/scan.go:822.2,822.8 1 96
fmt/scan.go:809.40,811.3 1 0
fmt/scan.go:815.2,816.25 1 6
fmt/scan.go:817.2,818.22 1 12
fmt/scan.go:819.2,820.40 1 79
fmt/scan.go:826.36,829.15 3 6
fmt/scan.go:863.2,863.11 1 0
fmt/scan.go:830.2,832.7 1 2
fmt/scan.go:839.3,839.23 1 2
fmt/scan.go:840.2,843.7 2 4
fmt/scan.go:855.3,856.17 2 4
fmt/scan.go:859.3,859.16 1 4
fmt/scan.go:860.2,861.42 1 0
fmt/scan.go:832.7,834.18 2 35
fmt/scan.go:837.4,837.22 1 33
fmt/scan.go:834.18,835.10 1 2
fmt/scan.go:843.7,846.17 3 57
fmt/scan.go:846.17,851.5 1 8
fmt/scan.go:851.5,851.23 1 49
fmt/scan.go:851.23,852.10 1 4
fmt/scan.go:856.17,858.4 1 0
fmt/scan.go:867.35,869.15 2 133
fmt/scan.go:877.2,877.18 1 8
fmt/scan.go:870.2,871.27 1 119
fmt/scan.go:872.2,873.32 1 3
fmt/scan.go:874.2,875.32 1 3
fmt/scan.go:883.42,885.18 2 74
fmt/scan.go:888.2,889.9 2 70
fmt/scan.go:893.2,894.9 2 63
fmt/scan.go:898.2,898.39 1 62
fmt/scan.go:885.18,887.3 1 4
fmt/scan.go:889.9,892.3 2 7
fmt/scan.go:894.9,897.3 2 1
fmt/scan.go:902.33,904.6 2 12
fmt/scan.go:911.2,911.21 1 11
fmt/scan.go:915.2,915.22 1 11
fmt/scan.go:904.6,906.10 2 74
fmt/scan.go:909.3,909.21 1 62
fmt/scan.go:906.10,907.9 1 11
fmt/scan.go:911.21,914.3 2 0
fmt/scan.go:928.50,932.32 3 3365
fmt/scan.go:943.2,943.25 1 2528
fmt/scan.go:932.32,934.17 2 837
fmt/scan.go:940.3,940.9 1 836
fmt/scan.go:934.17,935.21 1 1
fmt/scan.go:938.4,938.16 1 1
fmt/scan.go:935.21,937.5 1 1
fmt/scan.go:944.2,945.24 1 24
fmt/scan.go:946.2,947.42 1 12
fmt/scan.go:948.2,949.32 1 21
fmt/scan.go:950.2,951.37 1 1824
fmt/scan.go:952.2,953.32 1 55
fmt/scan.go:954.2,955.34 1 35
fmt/scan.go:956.2,957.34 1 52
fmt/scan.go:958.2,959.27 1 33
fmt/scan.go:960.2,961.39 1 53
fmt/scan.go:962.2,963.34 1 26
fmt/scan.go:964.2,965.36 1 10
fmt/scan.go:966.2,967.36 1 10
fmt/scan.go:968.2,969.28 1 9
fmt/scan.go:970.2,971.46 1 0
fmt/scan.go:974.2,975.44 1 23
fmt/scan.go:980.2,981.44 1 77
fmt/scan.go:986.2,987.29 1 68
fmt/scan.go:988.2,991.37 1 23
fmt/scan.go:992.2,995.32 3 173
fmt/scan.go:999.3,999.36 1 172
fmt/scan.go:975.44,979.4 3 23
fmt/scan.go:981.44,985.4 3 77
fmt/scan.go:995.32,998.4 2 1
fmt/scan.go:1000.3,1001.31 1 20
fmt/scan.go:1002.3,1003.46 1 57
fmt/scan.go:1004.3,1005.48 1 65
fmt/scan.go:1006.3,1007.38 1 11
fmt/scan.go:1008.3,1011.42 2 11
fmt/scan.go:1014.4,1016.34 3 11
fmt/scan.go:1019.3,1022.63 3 4
fmt/scan.go:1023.3,1024.54 1 4
fmt/scan.go:1025.3,1026.60 1 0
fmt/scan.go:1011.42,1013.5 1 0
fmt/scan.go:1016.34,1018.5 1 28
fmt/scan.go:1032.32,1033.30 1 3255
fmt/scan.go:1033.30,1034.34 1 92
fmt/scan.go:1034.34,1036.4 1 51
fmt/scan.go:1036.4,1036.55 1 41
fmt/scan.go:1036.55,1038.4 1 41
fmt/scan.go:1038.4,1039.12 1 0
fmt/scan.go:1045.68,1047.24 2 2234
fmt/scan.go:1052.2,1052.15 1 2212
fmt/scan.go:1064.2,1064.8 1 2211
fmt/scan.go:1047.24,1050.3 2 2272
fmt/scan.go:1052.15,1053.7 1 293
fmt/scan.go:1053.7,1055.29 2 310
fmt/scan.go:1058.4,1058.19 1 18
fmt/scan.go:1055.29,1056.10 1 292
fmt/scan.go:1058.19,1060.10 2 1
fmt/scan.go:1075.45,1076.22 1 1962
fmt/scan.go:1139.2,1139.8 1 5
fmt/scan.go:1076.22,1078.18 2 2821
fmt/scan.go:1090.3,1093.40 3 889
fmt/scan.go:1104.3,1104.15 1 889
fmt/scan.go:1132.3,1133.21 2 852
fmt/scan.go:1137.3,1137.9 1 847
fmt/scan.go:1078.18,1080.26 1 1935
fmt/scan.go:1084.4,1085.20 2 1931
fmt/scan.go:1088.4,1088.10 1 3
fmt/scan.go:1080.26,1082.5 1 4
fmt/scan.go:1085.20,1087.5 1 1928
fmt/scan.go:1093.40,1094.20 1 42
fmt/scan.go:1100.4,1102.49 3 42
fmt/scan.go:1094.20,1095.19 1 13
fmt/scan.go:1098.5,1098.22 1 13
fmt/scan.go:1095.19,1096.11 1 0
fmt/scan.go:1104.15,1108.21 2 37
fmt/scan.go:1111.4,1111.24 1 31
fmt/scan.go:1116.4,1116.42 1 31
fmt/scan.go:1119.4,1119.22 1 31
fmt/scan.go:1126.4,1127.18 2 19
fmt/scan.go:1130.4,1130.12 1 17
fmt/scan.go:1108.21,1110.5 1 6
fmt/scan.go:1111.24,1114.5 1 0
fmt/scan.go:1116.42,1118.5 1 24
fmt/scan.go:1119.22,1120.20 1 12
fmt/scan.go:1124.5,1124.11 1 10
fmt/scan.go:1120.20,1122.6 1 2
fmt/scan.go:1127.18,1129.5 1 2
fmt/scan.go:1133.21,1136.4 2 4
fmt/scan.go:1144.84,1148.24 3 1021
fmt/scan.go:1193.2,1193.27 1 956
fmt/scan.go:1196.2,1196.8 1 952
fmt/scan.go:1148.24,1150.12 2 1962
fmt/scan.go:1155.3,1155.23 1 1105
fmt/scan.go:1163.3,1168.18 4 1101
fmt/scan.go:1172.3,1175.15 3 1101
fmt/scan.go:1178.3,1179.46 2 1101
fmt/scan.go:1183.3,1183.29 1 1101
fmt/scan.go:1187.3,1191.23 4 1093
fmt/scan.go:1150.12,1152.12 2 848
fmt/scan.go:1155.23,1157.13 1 4
fmt/scan.go:1161.4,1161.9 1 0
fmt/scan.go:1157.13,1159.5 1 4
fmt/scan.go:1168.18,1170.4 1 1047
fmt/scan.go:1175.15,1177.4 1 1063
fmt/scan.go:1179.46,1181.4 1 54
fmt/scan.go:1183.29,1185.9 2 8
fmt/scan.go:1193.27,1195.3 1 4
